data file,high inertia weight,high k,high max iteration,high max velocity,high memory weight,high neighbour weight,high swarm size,high velocity convergence threshold,low inertia weight,low k,low max iteration,low max velocity,low memory weight,low neighbour weight,low velocity convergence threshold,lowest inertia weight,lowest k,lowest max iteration,lowest memory weight,lowest neighbour weight,lowest velocity convergence threshold,max k,max max iteration,medium high inertia weight,medium high max velocity,medium high memory weight,medium high neighbour weight,medium high swarm size,medium k,medium low inertia weight,medium low memory weight,medium low neighbour weight,medium max iteration,medium max velocity,medium velocity convergence threshold,pso reference,small swarm size,tiny swarm size
data/EUR_GBP/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,-9.835002372961822e-05,-3.38974502755549e-05,-0.00025215803407036046,-6.80331726257336e-05,-0.00010914646973356876,3.850161419948667e-05,-0.0002314681593673235,-0.0002046071317355562,-3.018312336549168e-06,-0.00013902727612870438,-0.00024338665436430084,-0.00028187723710546594,-0.0001915019966572758,-0.0002966551877462471,0.00016307607791337915,-9.043441422992964e-05,-4.6275532080082874e-05,0.00026599761842124327,-0.00019835252899073788,-7.744886784614722e-05,-0.00013642221226106477,-0.0002628952894866494,-0.00018661010149681213,-6.076315998703698e-05,-0.00010030963308307584,-0.000249335239463404,-0.00020609488108448457,0.00023506461098732069,-4.599252470491873e-05,-0.0001635894108279787,-0.00023108360480449613,-0.0001525018813146631,-8.868505325508252e-05,-9.821871785836687e-05,-0.0001824576494858047,-8.228808001554716e-05,-0.00014894135192879173,-4.030151813482474e-05
data/EUR_GBP/fx-spot_EUR_GBP_10min_201307.txt:fx-spot_EUR_GBP_10min_201307:0:20:21:30,0.0004453530671365037,0.00045330989545066137,0.0004748106669367375,0.00042819811659806787,0.00045452152643281915,0.00034326265843690325,0.0004785362753966102,0.0004088753095713574,0.0005303483401277179,0.0004351459095251915,0.0003959306791316999,0.0004286855105198724,0.0004314234299610222,0.0004370089858234099,0.0005251593182351606,0.00040581300720927206,0.0004583718577193702,0.00043952591203376325,0.0004048793656357992,0.0004517605303445796,0.0005248798335221618,0.00042592660786207207,0.0004285267889153722,0.00043169039839090293,0.00026689398049842457,0.0003651321983666957,0.0005100828069876578,0.0005583239174768914,0.00043869257778029824,0.0003633294281188696,0.0005279778279049807,0.000520275385349596,0.0004925105447504889,0.0003849545037419742,0.00041411355008029503,0.00045905170435944054,0.0002910072353288841,0.0003666597617443696
data/EUR_GBP/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,-0.00018826140145264083,-0.00020877212716205172,-0.00021249411108830097,-0.0001288996813801468,-0.0001921847194038924,-0.000197345919782271,-0.00035416909408204726,-0.00030586770324744295,-0.00019865421639274082,-0.00023597476923991066,-0.00019040216351327372,-7.332829139648641e-05,-0.0002003953067631614,-0.00026246925861887,-0.0002917869246048749,-0.00023455334554763548,-0.00022694427075122927,-0.00030590144150046447,-0.00020091339423907156,-0.00016996642844468573,-0.0002587780327363871,-0.0002486177632259453,-0.0001583062304526054,-0.000188841600511056,-0.00021406329493547173,-0.00018411002746430386,-0.00024099160838592635,-0.0002064758181250125,-0.00031961377404251775,-0.00024753551620200693,-0.00016871292070514933,-0.0002888688697763025,-0.0001810398814289825,-0.00014135819075445646,-0.0002744515420036381,-0.0002742383796834835,-0.00016403782191475302,-0.00011693096453513582
data/EUR_USD/fx-spot_EUR_USD_10min_201306.txt:fx-spot_EUR_USD_10min_201306:02:20:21:29,8.430776080686639e-05,5.5584168617538065e-05,5.26674807351459e-05,4.0718143416218516e-05,3.5881820978205066e-05,2.0801059178982362e-05,7.402760502088454e-05,4.063990381892379e-05,8.109250008192634e-05,7.904265599675264e-05,8.28897804418035e-05,3.905637303007864e-05,0.00011273502946959857,8.259749188343551e-05,7.435100785483418e-05,5.1728942924430956e-05,7.465466659473956e-05,7.961746085388621e-05,1.3227916132649059e-05,5.439994856621041e-05,2.4755869890421264e-05,2.1898248983842623e-05,2.153797643050799e-05,5.7975698043657626e-05,1.4895587298681198e-05,3.325082713412643e-05,3.9062546012825976e-05,5.680318523904515e-05,5.518377559302133e-05,9.269693347805063e-05,6.550958187736868e-05,8.464750820622234e-05,3.726907790402469e-05,4.956734284106467e-05,5.443356328567875e-05,1.5041960024836332e-05,1.9695701648943564e-05,5.0305450945548223e-05
data/EUR_USD/fx-spot_EUR_USD_10min_201307.txt:fx-spot_EUR_USD_10min_201307:02:20:21:31,0.0021019921542175333,0.002576599607008155,0.0017537024177044184,0.0012687876454325396,0.001396067466165915,0.001788275965158762,0.0023504284831942046,0.0019574603283683102,0.0021920909435378276,0.002154601613510362,0.0019497339031469365,0.001248007087319289,0.001965103287581908,0.0019318486412943764,0.002139435713189534,0.00150536747865603,0.001887920050784388,0.0020924957944796303,0.0008506854302229002,0.0018058400716784977,0.0022429881459864816,0.0019762633633513735,0.0017828274752510608,0.001764522798846224,0.0013297167428492711,0.0016479666523080746,0.001900832160562094,0.00247787568260946,0.0009219920054531532,0.0012081378107784188,0.0025401264096033224,0.0018151421574212634,0.001998104256070589,0.0013633747574808282,0.0013704743282834922,0.0013884712324050733,0.001028143277772352,0.0011000812081980503
data/EUR_USD/fx-spot_EUR_USD_10min_201308.txt:fx-spot_EUR_USD_10min_201308:02:20:21:29,8.963856447756713e-05,6.370381007058476e-05,0.00014597865991449317,7.844044352582848e-05,4.52911799881498e-05,3.877497799787233e-05,0.00018254029995915465,0.00012228113547507925,0.00011326295040545854,9.40494918419271e-05,3.2725442636375675e-05,9.761426830393601e-05,8.255302139643446e-05,0.00016668360085971145,4.284470673305513e-05,0.0001062131142446078,6.752775440758098e-05,0.00016038244427703385,1.8705063679042438e-05,0.00023339229686434896,3.306329072055165e-05,5.105141545571376e-05,8.840615872957403e-05,7.522268886130805e-05,0.00010031094454222675,5.924494605114893e-05,7.073000007340959e-05,0.00016991899199600348,0.00011750508950192876,0.0001070432850347374,0.00011366844845489183,0.00010817855100573456,0.000159539000359649,6.30124438067784e-05,0.00015461097256584523,0.00011029087286020442,8.308592443153449e-05,-1.4431208856352094e-05
data/GBP_CHF/fx-spot_GBP_CHF_10min_201306.txt:fx-spot_GBP_CHF_10min_201306:02:20:21:27,-2.2547836640471735e-05,-3.8097674739290616e-05,-3.360143034796685e-05,-7.4104930616640515e-06,-2.418814151876131e-05,-2.2989910235162823e-05,-1.4615090427768377e-05,-8.841321114395859e-06,-2.691755868445348e-06,-1.733132283692248e-05,-2.2766518767923115e-05,-1.4052445926820862e-05,-9.442246210521636e-06,-1.764568441375095e-05,-4.512115237432786e-06,-1.3308119674518525e-05,-1.3041599302785467e-05,-2.9620192337324945e-05,-1.7326319597948898e-05,-1.1040092373347696e-05,-1.6884210331159221e-06,-2.8436112060663654e-06,-2.0548164351436608e-05,-1.4940457309782628e-05,-2.575309154123545e-05,-1.65915063791144e-05,-7.971979519507868e-06,-2.6430401728760357e-05,-7.989061791449785e-07,-2.1153706763431294e-05,-2.3886819228263035e-05,-1.3029640434452852e-05,-3.336409096877593e-05,-1.0649755679553225e-05,-9.478032483756687e-06,-2.304183876303534e-05,-2.002157265364882e-05,4.251840035646229e-06
data/GBP_CHF/fx-spot_GBP_CHF_10min_201307.txt:fx-spot_GBP_CHF_10min_201307:02:20:21:28,4.3916101740594964e-05,5.897638251901495e-05,3.551981153699276e-05,3.318695953640743e-05,5.225656266023167e-05,2.7049672910477676e-05,8.24140234014022e-05,4.3233721543787315e-05,4.3189749371309894e-05,2.3533581907242715e-05,6.393397035292084e-05,3.105795751084219e-05,6.038381175323177e-05,7.361253642432584e-05,5.677498390538873e-05,5.359944829476592e-05,1.6528390040162242e-05,2.6133176774709595e-05,7.979762196213548e-05,7.03197870517357e-05,8.570632398705975e-05,4.0665750084554355e-05,3.712830041302827e-05,5.599954660907212e-05,5.424394688222713e-05,4.137934900738529e-05,1.1586161955471697e-05,5.354899594331839e-05,4.5867722657892565e-05,3.306400431324445e-05,4.947603556523516e-05,5.590714711478287e-05,3.509361552718952e-05,3.754941315004832e-05,4.8522862994257565e-05,3.5161979681475366e-05,6.471221790129477e-05,5.5255661381179626e-05
data/GBP_CHF/fx-spot_GBP_CHF_10min_201308.txt:fx-spot_GBP_CHF_10min_201308:02:20:21:25,-7.230352735722633e-05,-4.889421696546935e-05,-2.2095297949838722e-05,9.715350041648246e-06,-6.786290244502138e-05,-3.0440188951349054e-05,-3.115957002423119e-05,-8.926389310828801e-05,-4.1735050590410644e-05,-4.1959609790925826e-05,-4.442235043323418e-05,-4.693887699729571e-06,8.84735911895645e-05,-9.842340706938108e-07,-5.528634358035668e-05,4.217353680247989e-06,-3.798649350778838e-06,-3.127798034715052e-05,0.00013539280621505117,-4.214959131232356e-05,-8.312989456241568e-05,-1.0052296713149674e-07,-7.931434686816213e-05,-2.695803850580191e-05,-6.863101251405366e-05,-2.5543151073138583e-05,-3.743348301650931e-05,-6.178815558725494e-05,-3.641329553211414e-05,-3.269943460208855e-05,6.355836053428008e-06,-4.315099773824726e-05,-2.3703280951975873e-05,7.272119015130432e-08,-2.4721937396267416e-05,-6.249827262739651e-05,-4.50549471573423e-05,-1.7853528061731322e-05
data/GBP_USD/fx-spot_GBP_USD_10min_201306.txt:fx-spot_GBP_USD_10min_201306:02:20:21:28,-3.6638483287974694e-05,-0.0003888447955465189,-0.00014857811236715628,-2.8969396630490187e-05,-0.00015517158374646266,-0.00018682682466245016,-0.0002856835515378713,-0.00010582743589990463,-0.00014962779227490656,-0.0001353241384171633,-0.00013192125543610834,-0.0001480841607745106,-0.00017932046254568267,-0.00027990337205679327,-0.00035640189434075207,-0.0002009902996088076,-0.0001244092104579103,-4.874470900688862e-05,-0.0001759651514730928,-0.00015077663637191798,-0.0001949835882403373,-0.0003145400652726447,-0.00014518816752356257,-9.071336313363545e-05,-0.00011631202198813403,-0.0001689777718112865,-0.00015799668633640363,-0.00031639602916249803,-6.759264315695212e-05,-8.001565823906047e-05,-0.0003161380849064069,-0.00026762474537337256,-0.00017319512317206097,-0.0002876810404190466,-8.172345039468367e-05,-0.0002549107510093348,-0.0003007149703615357,-0.00022609641790256353
