,config name,data file,mdd,no_of_short_selling_transactions,no_of_transactions,noop,realised_profit,ret,u_buy,u_sell,value,wealth
reference data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,reference,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0009748589207641236,0.0,41.2,2028.4,-0.6046178413089365,-0.0001209235682617873,0.0,0.0,-0.00031589535241461204,499999.39538215875
reference data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,reference,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.0002169686055664193,0.0,25.7,2312.9,-0.7721375046123284,-0.00015442750092246573,0.0,0.0,-0.00019782122203574958,499999.22786249535
small swarm size data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,small swarm size,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0006360043219306513,0.0,40.4,2028.1,-0.00030203186324797573,-6.040637264958834e-08,0.0,0.0,-0.00012726127075877986,499999.9996979682
small swarm size data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,small swarm size,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.0002455826099286887,0.0,19.6,2318.0,-0.7371306186134461,-0.00014742612372268925,0.0,0.0,-0.00019654264570842698,499999.26286938135
medium high swarm size data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,medium high swarm size,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0007565559264425647,0.0,23.4,2048.7,1.603085429838393,0.0003206170859676786,0.0,0.0,0.0001693059006791656,500001.60308542976
medium high swarm size data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,medium high swarm size,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.00042078332934344616,0.0,20.3,2322.7,-1.3876013787579722,-0.0002775202757515945,0.0,0.0,-0.0003616769416202837,499998.6123986213
high swarm size data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,high swarm size,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0008727927642748223,0.0,50.0,2016.1,-0.15884238718426785,-3.176847743685357e-05,0.0,0.0,-0.00020632703029181804,499999.84115761286
high swarm size data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,high swarm size,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.00032909252970284556,0.0,18.6,2325.3,-0.9875083467573859,-0.0001975016693514772,0.0,0.0,-0.00026332017529204633,499999.0124916533
low max velocity data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,low max velocity,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0006996470879796625,0.0,41.0,2027.2,0.013126062572700903,2.625212514540174e-06,0.0,0.0,-0.00013730420508139234,500000.0131260626
low max velocity data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,low max velocity,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.00018019598903689228,0.0,20.4,2319.4,-0.546383024728857,-0.0001092766049457714,0.0,0.0,-0.00014531580275314987,499999.4536169752
medium max velocity data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,medium max velocity,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0006887037362906287,0.0,26.7,2043.2,0.5964602649328299,0.00011929205298656596,0.0,0.0,-1.8448694271559805e-05,500000.59646026493
medium max velocity data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,medium max velocity,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.00022859100969379364,0.0,17.1,2322.6,-0.5984098561631981,-0.00011968197123263962,0.0,0.0,-0.00016540017317139835,499999.4015901439
