run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.347991	  0.000070	  0.000060	  0.347991	  0.000046	2	0
1	500000.020978	  0.000004	  0.000002	  0.020978	  0.000010	13	0
2	500000.048355	  0.000010	  0.000006	  0.048355	  0.000017	20	0
3	500000.037044	  0.000007	  0.000005	  0.037044	  0.000014	14	0
4	500000.040252	  0.000008	  0.000008	  0.040252	  0.000002	106	0
5	500000.488367	  0.000098	  0.000081	  0.488367	  0.000082	4	0
6	500000.689991	  0.000138	  0.000066	  0.689991	  0.000360	6	0
7	500000.289639	  0.000058	  0.000050	  0.289639	  0.000041	10	0
8	500000.597744	  0.000120	  0.000101	  0.597744	  0.000091	19	0
9	500000.438020	  0.000088	  0.000051	  0.438020	  0.000182	10	0
