run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.495111	  0.000099	  0.000085	  0.495111	  0.000069	100	0
1	500000.876370	  0.000175	  0.000160	  0.876370	  0.000075	39	0
2	500000.276545	  0.000055	  0.000049	  0.276545	  0.000034	20	0
3	500000.374262	  0.000075	 -0.000002	  0.374262	  0.000385	69	0
4	500000.675338	  0.000135	  0.000120	  0.675338	  0.000073	43	0
5	500001.887447	  0.000377	  0.000336	  1.887447	  0.000207	71	0
6	500000.998015	  0.000200	  0.000153	  0.998015	  0.000233	71	0
7	500000.903883	  0.000181	  0.000139	  0.903883	  0.000207	71	0
8	500001.470175	  0.000294	  0.000254	  1.470175	  0.000198	99	0
9	500001.670575	  0.000334	  0.000307	  1.670575	  0.000138	93	0
