run	wealth	return	value	profit	mdd	transactions	short transactions
0	500001.082273	  0.000216	  0.000184	  1.082273	  0.000160	61	0
1	500002.619983	  0.000524	  0.000482	  2.619983	  0.000210	191	0
2	500000.591297	  0.000118	  0.000094	  0.591297	  0.000121	94	0
3	500001.105959	  0.000221	  0.000177	  1.105959	  0.000222	82	0
4	500000.075431	  0.000015	  0.000013	  0.075431	  0.000013	25	0
5	500001.389922	  0.000278	  0.000242	  1.389922	  0.000179	74	0
6	500001.494505	  0.000299	  0.000249	  1.494505	  0.000249	39	0
7	500001.725829	  0.000345	  0.000303	  1.725829	  0.000209	41	0
8	500000.824632	  0.000165	  0.000122	  0.824632	  0.000213	126	0
9	500000.221026	  0.000044	  0.000039	  0.221026	  0.000026	59	0
