run	wealth	return	value	profit	mdd	transactions	short transactions
0	499999.731270	 -0.000054	 -0.000070	 -0.268730	  0.000081	60	0
1	499999.938369	 -0.000012	 -0.000017	 -0.061631	  0.000024	4	0
2	499999.857854	 -0.000028	 -0.000037	 -0.142146	  0.000045	1	0
3	499999.938038	 -0.000012	 -0.000021	 -0.061962	  0.000041	53	0
4	499999.074988	 -0.000185	 -0.000233	 -0.925012	  0.000241	30	0
5	499999.978371	 -0.000004	 -0.000006	 -0.021629	  0.000008	12	0
6	499999.767670	 -0.000046	 -0.000064	 -0.232330	  0.000088	13	0
7	499999.939769	 -0.000012	 -0.000018	 -0.060231	  0.000028	73	0
8	499999.786585	 -0.000043	 -0.000058	 -0.213415	  0.000076	8	0
9	499999.340451	 -0.000132	 -0.000195	 -0.659549	  0.000317	30	0
