run	wealth	return	value	profit	mdd	transactions	short transactions
0	499996.667407	 -0.000667	 -0.001347	 -3.332593	  0.003403	23	0
1	500002.219844	  0.000444	  0.000296	  2.219844	  0.000738	12	0
2	500000.790450	  0.000158	  0.000001	  0.790450	  0.000787	148	0
3	500000.045809	  0.000009	  0.000001	  0.045809	  0.000040	6	0
4	500002.473220	  0.000495	  0.000466	  2.473220	  0.000141	32	0
5	500000.237889	  0.000048	  0.000040	  0.237889	  0.000040	30	0
6	499999.703206	 -0.000059	 -0.000130	 -0.296794	  0.000351	90	0
7	500000.968051	  0.000194	  0.000094	  0.968051	  0.000498	148	0
8	500001.757346	  0.000351	  0.000262	  1.757346	  0.000446	51	0
9	500000.047081	  0.000009	  0.000005	  0.047081	  0.000024	49	0
