run	wealth	return	value	profit	mdd	transactions	short transactions
0	499997.716458	 -0.000457	 -0.000571	 -2.283542	  0.000572	30	0
1	499998.428829	 -0.000314	 -0.000414	 -1.571171	  0.000501	6	0
2	499997.480047	 -0.000504	 -0.000699	 -2.519953	  0.000975	77	0
3	499999.643825	 -0.000071	 -0.000089	 -0.356175	  0.000091	4	0
4	499999.770143	 -0.000046	 -0.000108	 -0.229857	  0.000312	17	0
5	499999.860361	 -0.000028	 -0.000039	 -0.139639	  0.000053	13	0
6	499999.402469	 -0.000120	 -0.000154	 -0.597531	  0.000174	42	0
7	499999.570609	 -0.000086	 -0.000194	 -0.429391	  0.000541	76	0
8	499997.996211	 -0.000401	 -0.000511	 -2.003789	  0.000553	23	0
9	499999.940372	 -0.000012	 -0.000015	 -0.059628	  0.000016	25	0
