run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.013051	  0.000003	 -0.000005	  0.013051	  0.000038	1	0
1	499994.611667	 -0.001078	 -0.001387	 -5.388333	  0.001547	34	0
2	500000.065476	  0.000013	  0.000002	  0.065476	  0.000055	5	0
3	499999.803745	 -0.000039	 -0.000053	 -0.196255	  0.000070	21	0
4	499999.837506	 -0.000032	 -0.000041	 -0.162494	  0.000043	5	0
5	499999.943366	 -0.000011	 -0.000036	 -0.056634	  0.000124	8	0
6	499999.546054	 -0.000091	 -0.000112	 -0.453946	  0.000108	19	0
7	499997.021285	 -0.000596	 -0.000765	 -2.978715	  0.000844	31	0
8	499999.997300	 -0.000001	 -0.000002	 -0.002700	  0.000006	37	0
9	499999.994873	 -0.000001	 -0.000001	 -0.005127	  0.000001	2	0
