run	wealth	return	value	profit	mdd	transactions	short transactions
0	499986.471659	 -0.002706	 -0.003365	-13.528341	  0.003296	37	0
1	499997.739815	 -0.000452	 -0.000568	 -2.260185	  0.000581	122	0
2	499990.179753	 -0.001964	 -0.002459	 -9.820247	  0.002476	64	0
3	499999.027159	 -0.000195	 -0.000244	 -0.972841	  0.000245	132	0
4	499999.182203	 -0.000164	 -0.000216	 -0.817797	  0.000261	161	0
5	499999.985783	 -0.000003	 -0.000039	 -0.014217	  0.000179	19	0
6	499999.238147	 -0.000152	 -0.000203	 -0.761853	  0.000253	98	0
7	499999.632723	 -0.000073	 -0.000093	 -0.367277	  0.000100	90	0
8	499997.787823	 -0.000442	 -0.000568	 -2.212177	  0.000629	34	0
9	499998.425074	 -0.000315	 -0.000451	 -1.574926	  0.000679	67	0
