run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.999772	  0.000200	  0.000182	  0.999772	  0.000091	4	0
1	500003.602931	  0.000721	  0.000487	  3.602931	  0.001169	131	0
2	500000.003370	  0.000001	-9999.000000	  0.003370	  0.000045	1	0
3	500001.795053	  0.000359	  0.000312	  1.795053	  0.000237	29	0
4	500000.030918	  0.000006	 -0.000021	  0.030918	  0.000134	11	0
5	499999.989506	 -0.000002	 -0.000005	 -0.010494	  0.000016	4	0
6	500000.404619	  0.000081	 -0.000004	  0.404619	  0.000425	144	0
7	500000.002569	  0.000001	 -0.000023	  0.002569	  0.000120	2	0
8	500001.988502	  0.000398	  0.000118	  1.988502	  0.001401	48	0
9	500000.102857	  0.000021	 -0.000029	  0.102857	  0.000250	47	0
