run	wealth	return	value	profit	mdd	transactions	short transactions
0	499997.800256	 -0.000440	 -0.000596	 -2.199744	  0.000778	24	0
1	499994.862276	 -0.001028	 -0.001390	 -5.137724	  0.001814	14	0
2	499999.075092	 -0.000185	 -0.000248	 -0.924908	  0.000313	5	0
3	499999.711479	 -0.000058	 -0.000071	 -0.288521	  0.000067	1	0
4	499999.254973	 -0.000149	 -0.000274	 -0.745027	  0.000624	72	0
5	499999.358391	 -0.000128	 -0.000159	 -0.641609	  0.000152	5	0
6	499997.085867	 -0.000583	 -0.000778	 -2.914133	  0.000974	14	0
7	499999.812844	 -0.000037	 -0.000072	 -0.187156	  0.000173	4	0
8	499995.006719	 -0.000999	 -0.001330	 -4.993281	  0.001656	41	0
9	499998.797034	 -0.000241	 -0.000305	 -1.202966	  0.000325	23	0
