Generation	Best	Worst	Average
0	    0.000421	-9999.000000	 -119.991581
1	    0.000421	-9999.000000	 -109.991007
2	    0.000421	-9999.000000	 -159.985294
3	    0.000421	-9999.000000	  -49.995930
4	    0.000421	-9999.000000	  -29.997543
5	    0.000421	-9999.000000	  -49.995418
6	    0.000421	-9999.000000	   -9.999236
7	    0.000421	   -0.019801	   -0.000041
8	    0.000421	   -0.027843	   -0.000072
9	    0.000421	-9999.000000	   -9.998990
10	    0.000421	   -0.027479	    0.000040
11	    0.000421	   -0.031600	   -0.000083
12	    0.000421	   -0.028692	    0.000005
13	    0.000421	   -0.027437	    0.000071
14	    0.000421	-9999.000000	  -19.998087
15	    0.000421	   -0.036669	   -0.000118
16	    0.000421	   -0.033726	    0.000092
17	    0.000421	   -0.032959	    0.000021
18	    0.000460	   -0.034112	   -0.000009
19	    0.000460	   -0.033263	    0.000010
20	    0.000460	   -0.042290	   -0.000006
21	    0.000460	   -0.034624	   -0.000035
22	    0.000460	   -0.035591	    0.000098
23	    0.000460	-9999.000000	   -9.998881
24	    0.000460	-9999.000000	   -9.998848
25	    0.000460	-9999.000000	   -9.998976
26	    0.000460	   -0.027891	    0.000107
27	    0.000460	   -0.027498	    0.000197
28	    0.000460	   -0.033957	    0.000015
29	    0.000460	   -0.035945	    0.000072
30	    0.000460	   -0.028006	    0.000154
31	    0.000460	   -0.032044	    0.000074
32	    0.000460	   -0.025737	    0.000156
33	    0.000460	   -0.021191	    0.000136
34	    0.000460	   -0.021138	    0.000234
Generation	Best	Worst	Average
0	    0.000313	-9999.000000	 -129.991059
1	    0.000324	-9999.000000	 -149.986656
2	    0.000582	-9999.000000	 -139.987064
3	    0.000582	-9999.000000	  -69.993808
4	    0.000582	-9999.000000	  -69.993773
5	    0.000582	-9999.000000	  -69.993543
6	    0.000582	-9999.000000	  -39.996296
7	    0.000582	-9999.000000	  -19.998212
8	    0.000582	   -0.025809	   -0.000078
9	    0.000582	   -0.034236	   -0.000151
10	    0.000582	   -0.032703	   -0.000119
11	    0.000582	   -0.033405	    0.000008
12	    0.000582	   -0.034933	   -0.000186
13	    0.000582	   -0.030499	   -0.000037
14	    0.000582	   -0.036669	   -0.000118
15	    0.000582	   -0.028570	   -0.000159
