	Wealth	Return	Fitness	Realised Profit	MDD	NoOfTransactions	NoOfShortSellingTransactions
Run 0	500002.413966	  0.000483	  0.000412	  2.413966	  0.000356	15	0
Run 1	500002.279129	  0.000456	  0.000387	  2.279129	  0.000344	11	0
Run 2	500001.901967	  0.000380	  0.000309	  1.901967	  0.000355	14	0
Run 3	500002.007899	  0.000402	  0.000331	  2.007899	  0.000350	15	0
Run 4	500002.357626	  0.000472	  0.000400	  2.357626	  0.000356	11	0
Run 5	500002.338304	  0.000468	  0.000397	  2.338304	  0.000352	11	0
Run 6	500002.345810	  0.000469	  0.000398	  2.345810	  0.000354	11	0
Run 7	500002.061755	  0.000412	  0.000350	  2.061755	  0.000311	11	0
Run 8	500001.793919	  0.000359	  0.000305	  1.793919	  0.000270	11	0
Run 9	500002.345810	  0.000469	  0.000398	  2.345810	  0.000354	11	0
