run	wealth	return	value	profit	mdd	transactions	short transactions
0	500003.098142	  0.000620	  0.000481	  3.098142	  0.000691	56	0
1	500001.801533	  0.000360	  0.000251	  1.801533	  0.000545	53	0
2	500002.574080	  0.000515	  0.000380	  2.574080	  0.000675	35	0
3	500002.247142	  0.000449	  0.000350	  2.247142	  0.000496	58	0
4	500000.242699	  0.000049	  0.000040	  0.242699	  0.000043	3	0
5	500002.226459	  0.000445	  0.000343	  2.226459	  0.000512	41	0
6	500003.854105	  0.000771	  0.000532	  3.854105	  0.001192	66	0
7	500003.903148	  0.000781	  0.000507	  3.903148	  0.001370	27	0
8	500002.244032	  0.000449	  0.000314	  2.244032	  0.000675	37	0
9	500002.523780	  0.000505	  0.000433	  2.523780	  0.000358	12	0
