run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.230675	  0.000046	  0.000045	  0.230675	  0.000005	4	0
1	500000.082188	  0.000016	  0.000016	  0.082188	  0.000002	4	0
2	500000.375036	  0.000075	  0.000026	  0.375036	  0.000245	54	0
3	499999.874783	 -0.000025	 -0.000045	 -0.125217	  0.000101	1	0
4	500000.250012	  0.000050	  0.000049	  0.250012	  0.000008	4	0
5	500000.147739	  0.000030	 -0.000051	  0.147739	  0.000402	52	0
6	500000.233357	  0.000047	  0.000046	  0.233357	  0.000005	4	0
7	499999.927890	 -0.000014	 -0.000050	 -0.072110	  0.000178	55	0
8	500000.280090	  0.000056	  0.000054	  0.280090	  0.000008	4	0
9	500000.150207	  0.000030	  0.000029	  0.150207	  0.000003	4	0
