run	wealth	return	value	profit	mdd	transactions	short transactions
0	500004.461110	  0.000892	  0.000749	  4.461110	  0.000715	11	0
1	500003.764629	  0.000753	  0.000634	  3.764629	  0.000593	12	0
2	500004.661184	  0.000932	  0.000786	  4.661184	  0.000731	12	0
3	499998.077540	 -0.000384	 -0.000638	 -1.922460	  0.001268	56	0
4	499998.630568	 -0.000274	 -0.000431	 -1.369432	  0.000786	48	0
5	500004.020742	  0.000804	  0.000675	  4.020742	  0.000644	11	0
6	500004.108794	  0.000822	  0.000693	  4.108794	  0.000646	12	0
7	500002.939736	  0.000588	  0.000493	  2.939736	  0.000476	12	0
8	499998.542842	 -0.000291	 -0.000445	 -1.457158	  0.000767	49	0
9	500004.151432	  0.000830	  0.000700	  4.151432	  0.000652	12	0
