run	wealth	return	value	profit	mdd	transactions	short transactions
0	500002.727637	  0.000546	  0.000512	  2.727637	  0.000166	9	0
1	500002.477831	  0.000496	  0.000464	  2.477831	  0.000156	10	0
2	500003.051828	  0.000610	  0.000572	  3.051828	  0.000192	10	0
3	500002.700653	  0.000540	  0.000481	  2.700653	  0.000294	22	0
4	500001.721509	  0.000344	  0.000287	  1.721509	  0.000289	23	0
5	500002.458423	  0.000492	  0.000462	  2.458423	  0.000150	9	0
6	500002.688714	  0.000538	  0.000504	  2.688714	  0.000169	10	0
7	500001.948131	  0.000390	  0.000364	  1.948131	  0.000126	10	0
8	500003.090809	  0.000618	  0.000563	  3.090809	  0.000274	20	0
9	500002.718682	  0.000544	  0.000510	  2.718682	  0.000171	10	0
