run	wealth	return	value	profit	mdd	transactions	short transactions
0	500006.166969	  0.001233	  0.001153	  6.166969	  0.000402	33	0
1	500004.144179	  0.000829	  0.000786	  4.144179	  0.000212	19	0
2	500006.984589	  0.001397	  0.001348	  6.984589	  0.000243	19	0
3	500005.529951	  0.001106	  0.001070	  5.529951	  0.000179	24	0
4	500004.887415	  0.000977	  0.000939	  4.887415	  0.000190	7	0
5	500004.915887	  0.000983	  0.000930	  4.915887	  0.000266	25	0
6	500006.311833	  0.001262	  0.001226	  6.311833	  0.000182	18	0
7	500005.928110	  0.001186	  0.001110	  5.928110	  0.000380	31	0
8	500003.931726	  0.000786	  0.000755	  3.931726	  0.000155	19	0
9	500003.825492	  0.000765	  0.000735	  3.825492	  0.000149	7	0
