run	wealth	return	value	profit	mdd	transactions	short transactions
0	499999.473124	 -0.000105	 -0.000131	 -0.526876	  0.000130	24	0
1	499999.178864	 -0.000164	 -0.000218	 -0.821136	  0.000268	14	0
2	499998.153081	 -0.000369	 -0.000449	 -1.846919	  0.000399	29	0
3	499999.614865	 -0.000077	 -0.000120	 -0.385135	  0.000216	12	0
4	499998.442541	 -0.000311	 -0.000414	 -1.557459	  0.000513	25	0
5	499999.135123	 -0.000173	 -0.000214	 -0.864877	  0.000203	35	0
6	499998.403509	 -0.000319	 -0.000423	 -1.596491	  0.000521	14	0
7	499999.666409	 -0.000067	 -0.000099	 -0.333591	  0.000159	23	0
8	499999.209121	 -0.000158	 -0.000217	 -0.790879	  0.000296	22	0
9	499999.457799	 -0.000108	 -0.000137	 -0.542201	  0.000145	35	0
