run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.775883	  0.000155	  0.000036	  0.775883	  0.000597	13	0
1	500001.980700	  0.000396	  0.000332	  1.980700	  0.000321	12	0
2	499999.401109	 -0.000120	 -0.000279	 -0.598891	  0.000798	70	0
3	500000.688095	  0.000138	 -0.000005	  0.688095	  0.000715	72	0
4	499998.868048	 -0.000226	 -0.000345	 -1.131952	  0.000592	49	0
5	500003.202151	  0.000640	  0.000526	  3.202151	  0.000574	8	0
6	499999.788538	 -0.000042	 -0.000182	 -0.211462	  0.000697	37	0
7	499998.423194	 -0.000315	 -0.000413	 -1.576806	  0.000486	22	0
8	500002.224715	  0.000445	  0.000375	  2.224715	  0.000351	12	0
9	499998.991659	 -0.000202	 -0.000329	 -1.008341	  0.000638	52	0
