run	wealth	return	value	profit	mdd	transactions	short transactions
0	500001.812711	  0.000363	  0.000330	  1.812711	  0.000161	9	0
1	500001.317741	  0.000264	  0.000247	  1.317741	  0.000085	10	0
2	500001.544931	  0.000309	  0.000283	  1.544931	  0.000130	25	0
3	500001.631661	  0.000326	  0.000305	  1.631661	  0.000105	26	0
4	500002.372094	  0.000474	  0.000432	  2.372094	  0.000211	20	0
5	500001.727968	  0.000346	  0.000322	  1.727968	  0.000119	6	0
6	500001.934703	  0.000387	  0.000366	  1.934703	  0.000105	15	0
7	500001.739096	  0.000348	  0.000290	  1.739096	  0.000291	14	0
8	500001.461672	  0.000292	  0.000274	  1.461672	  0.000092	10	0
9	500002.636015	  0.000527	  0.000493	  2.636015	  0.000170	20	0
