run	wealth	return	value	profit	mdd	transactions	short transactions
0	499999.052211	 -0.000190	 -0.000251	 -0.947789	  0.000307	24	0
1	499999.045653	 -0.000191	 -0.000252	 -0.954347	  0.000307	7	0
2	499998.558722	 -0.000288	 -0.000382	 -1.441278	  0.000470	14	0
3	499999.071927	 -0.000186	 -0.000243	 -0.928073	  0.000287	13	0
4	499999.685384	 -0.000063	 -0.000090	 -0.314616	  0.000135	23	0
5	499998.833967	 -0.000233	 -0.000284	 -1.166033	  0.000252	29	0
6	499999.704685	 -0.000059	 -0.000081	 -0.295315	  0.000110	22	0
7	499999.287241	 -0.000143	 -0.000173	 -0.712759	  0.000154	4	0
8	499999.457989	 -0.000108	 -0.000169	 -0.542011	  0.000304	12	0
9	499999.705424	 -0.000059	 -0.000083	 -0.294576	  0.000119	25	0
