run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.346090	  0.000069	  0.000053	  0.346090	  0.000081	10	0
1	500000.276040	  0.000055	  0.000047	  0.276040	  0.000040	4	0
2	500000.499263	  0.000100	  0.000077	  0.499263	  0.000112	6	0
3	500000.338210	  0.000068	  0.000052	  0.338210	  0.000076	6	0
4	500000.204856	  0.000041	  0.000038	  0.204856	  0.000017	8	0
5	500000.332620	  0.000067	  0.000056	  0.332620	  0.000054	10	0
6	500000.214974	  0.000043	  0.000039	  0.214974	  0.000018	8	0
7	500000.108199	  0.000022	  0.000016	  0.108199	  0.000028	4	0
8	500000.319562	  0.000064	  0.000040	  0.319562	  0.000121	4	0
9	500000.228594	  0.000046	  0.000040	  0.228594	  0.000031	8	0
