run	wealth	return	value	profit	mdd	transactions	short transactions
0	500003.195546	  0.000639	  0.000487	  3.195546	  0.000759	55	0
1	500001.989402	  0.000398	  0.000341	  1.989402	  0.000282	34	0
2	500002.048200	  0.000410	  0.000223	  2.048200	  0.000932	53	0
3	500003.696480	  0.000739	  0.000519	  3.696480	  0.001102	66	0
4	500001.000011	  0.000200	  0.000083	  1.000011	  0.000584	40	0
5	500003.420002	  0.000684	  0.000463	  3.420002	  0.001105	66	0
6	500002.923253	  0.000585	  0.000515	  2.923253	  0.000350	13	0
7	500004.120331	  0.000824	  0.000579	  4.120331	  0.001226	66	0
8	500003.228108	  0.000646	  0.000527	  3.228108	  0.000595	10	0
9	500000.607494	  0.000121	  0.000007	  0.607494	  0.000573	36	0
