run	wealth	return	value	profit	mdd	transactions	short transactions
0	500005.002585	  0.001001	  0.000946	  5.002585	  0.000271	25	0
1	500002.711402	  0.000542	  0.000521	  2.711402	  0.000108	19	0
2	500006.726177	  0.001345	  0.001278	  6.726177	  0.000335	29	0
3	500006.324903	  0.001265	  0.001183	  6.324903	  0.000407	31	0
4	500003.089729	  0.000618	  0.000594	  3.089729	  0.000119	19	0
5	500005.363500	  0.001073	  0.000990	  5.363500	  0.000414	32	0
6	500003.449860	  0.000690	  0.000663	  3.449860	  0.000134	7	0
7	500005.851804	  0.001170	  0.001077	  5.851804	  0.000466	32	0
8	500004.641094	  0.000928	  0.000892	  4.641094	  0.000181	7	0
9	500003.068921	  0.000614	  0.000584	  3.068921	  0.000148	16	0
