run	wealth	return	value	profit	mdd	transactions	short transactions
0	500003.468596	  0.000694	  0.000583	  3.468596	  0.000556	11	0
1	499999.956494	 -0.000009	 -0.000108	 -0.043506	  0.000498	39	0
2	500000.457447	  0.000091	  0.000050	  0.457447	  0.000208	35	0
3	500000.172823	  0.000035	 -0.000100	  0.172823	  0.000675	72	0
4	499999.905425	 -0.000019	 -0.000154	 -0.094575	  0.000674	71	0
5	499999.352747	 -0.000129	 -0.000252	 -0.647253	  0.000612	11	0
6	499999.494374	 -0.000101	 -0.000144	 -0.505626	  0.000212	15	0
7	499999.971608	 -0.000006	 -0.000073	 -0.028392	  0.000336	89	0
8	499998.745124	 -0.000251	 -0.000398	 -1.254876	  0.000734	52	0
9	499998.322957	 -0.000335	 -0.000474	 -1.677043	  0.000692	15	0
