run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.010963	  0.000002	  0.000001	  0.010963	  0.000008	22	0
1	500000.197056	  0.000039	  0.000030	  0.197056	  0.000046	9	0
2	500000.204544	  0.000041	  0.000032	  0.204544	  0.000044	8	0
3	500000.325235	  0.000065	  0.000056	  0.325235	  0.000047	4	0
4	499999.999758	 -0.000000	 -0.000000	 -0.000242	  0.000000	4	0
5	500000.455762	  0.000091	  0.000075	  0.455762	  0.000080	10	0
6	500000.133118	  0.000027	 -0.000014	  0.133118	  0.000203	9	0
7	500000.054884	  0.000011	  0.000008	  0.054884	  0.000014	4	0
8	500000.248047	  0.000050	  0.000045	  0.248047	  0.000021	8	0
9	500000.190792	  0.000038	  0.000030	  0.190792	  0.000041	8	0
