run	wealth	return	value	profit	mdd	transactions	short transactions
0	499998.565415	 -0.000287	 -0.000427	 -1.434585	  0.000700	46	0
1	499998.974436	 -0.000205	 -0.000366	 -1.025564	  0.000806	70	0
2	499998.346411	 -0.000331	 -0.000513	 -1.653589	  0.000910	41	0
3	499999.271889	 -0.000146	 -0.000306	 -0.728111	  0.000801	62	0
4	499999.536621	 -0.000093	 -0.000192	 -0.463379	  0.000496	8	0
5	499999.049488	 -0.000190	 -0.000395	 -0.950512	  0.001025	62	0
6	499998.905926	 -0.000219	 -0.000296	 -1.094074	  0.000384	16	0
7	499998.753728	 -0.000249	 -0.000460	 -1.246272	  0.001053	70	0
8	500000.894141	  0.000179	 -0.000002	  0.894141	  0.000905	72	0
9	499997.887403	 -0.000423	 -0.000614	 -2.112597	  0.000958	43	0
