run	wealth	return	value	profit	mdd	transactions	short transactions
0	500004.731647	  0.000946	  0.000895	  4.731647	  0.000256	25	0
1	500004.803371	  0.000961	  0.000897	  4.803371	  0.000318	27	0
2	500005.150791	  0.001030	  0.000962	  5.150791	  0.000341	27	0
3	500003.840290	  0.000768	  0.000738	  3.840290	  0.000151	19	0
4	500004.772356	  0.000954	  0.000925	  4.772356	  0.000148	25	0
5	500007.137002	  0.001427	  0.001338	  7.137002	  0.000447	31	0
6	500007.627582	  0.001526	  0.001477	  7.627582	  0.000241	20	0
7	500005.129345	  0.001026	  0.000958	  5.129345	  0.000339	27	0
8	500004.621175	  0.000924	  0.000874	  4.621175	  0.000250	25	0
9	500005.668723	  0.001134	  0.001059	  5.668723	  0.000375	27	0
