run	wealth	return	value	profit	mdd	transactions	short transactions
0	500003.656699	  0.000731	  0.000523	  3.656699	  0.001041	67	0
1	500002.671504	  0.000534	  0.000416	  2.671504	  0.000591	58	0
2	500000.667429	  0.000133	  0.000007	  0.667429	  0.000632	36	0
3	500002.944387	  0.000589	  0.000449	  2.944387	  0.000698	55	0
4	500001.369346	  0.000274	  0.000143	  1.369346	  0.000653	8	0
5	500004.717339	  0.000943	  0.000780	  4.717339	  0.000819	34	0
6	500002.353878	  0.000471	  0.000319	  2.353878	  0.000760	27	0
7	500005.073495	  0.001015	  0.000830	  5.073495	  0.000922	34	0
8	500002.524913	  0.000505	  0.000385	  2.524913	  0.000599	55	0
9	500000.576531	  0.000115	 -0.000032	  0.576531	  0.000737	41	0
