run	wealth	return	value	profit	mdd	transactions	short transactions
0	500006.379815	  0.001276	  0.001199	  6.379815	  0.000385	32	0
1	500004.367243	  0.000873	  0.000816	  4.367243	  0.000288	27	0
2	500003.374507	  0.000675	  0.000642	  3.374507	  0.000163	16	0
3	500004.611443	  0.000922	  0.000872	  4.611443	  0.000250	25	0
4	500003.668391	  0.000734	  0.000712	  3.668391	  0.000107	6	0
5	500007.097050	  0.001419	  0.001375	  7.097050	  0.000224	20	0
6	500005.485528	  0.001097	  0.001065	  5.485528	  0.000158	18	0
7	500007.989447	  0.001598	  0.001547	  7.989447	  0.000252	20	0
8	500003.957984	  0.000792	  0.000749	  3.957984	  0.000214	25	0
9	500003.268151	  0.000654	  0.000628	  3.268151	  0.000126	19	0
