run	wealth	return	value	profit	mdd	transactions	short transactions
0	500004.696074	  0.000939	  0.000908	  4.696074	  0.000157	22	0
1	500005.536588	  0.001107	  0.001076	  5.536588	  0.000156	6	0
2	500008.588348	  0.001718	  0.001666	  8.588348	  0.000259	17	0
3	500007.821227	  0.001564	  0.001515	  7.821227	  0.000247	20	0
4	500006.531562	  0.001306	  0.001266	  6.531562	  0.000203	25	0
5	500006.292423	  0.001258	  0.001180	  6.292423	  0.000393	31	0
6	500004.888782	  0.000978	  0.000940	  4.888782	  0.000190	7	0
7	500009.082952	  0.001817	  0.001762	  9.082952	  0.000274	17	0
8	500007.487185	  0.001497	  0.001454	  7.487185	  0.000216	18	0
9	500006.552813	  0.001311	  0.001271	  6.552813	  0.000197	17	0
