run	wealth	return	value	profit	mdd	transactions	short transactions
0	499999.816332	 -0.000037	 -0.000057	 -0.183668	  0.000103	16	0
1	499998.806209	 -0.000239	 -0.000317	 -1.193791	  0.000389	14	0
2	499998.698201	 -0.000260	 -0.000345	 -1.301799	  0.000425	14	0
3	499998.357016	 -0.000329	 -0.000436	 -1.642984	  0.000536	14	0
4	499999.508145	 -0.000098	 -0.000160	 -0.491855	  0.000308	27	0
5	499998.488530	 -0.000302	 -0.000368	 -1.511470	  0.000326	29	0
6	499998.983540	 -0.000203	 -0.000266	 -1.016460	  0.000315	13	0
7	499999.528657	 -0.000094	 -0.000147	 -0.471343	  0.000264	12	0
8	499998.775343	 -0.000245	 -0.000298	 -1.224657	  0.000265	24	0
9	499999.162944	 -0.000167	 -0.000239	 -0.837056	  0.000359	23	0
