run	wealth	return	value	profit	mdd	transactions	short transactions
0	499999.093258	 -0.000181	 -0.000341	 -0.906742	  0.000798	64	0
1	500004.699804	  0.000940	  0.000900	  4.699804	  0.000200	14	0
2	499999.877709	 -0.000024	 -0.000144	 -0.122291	  0.000595	63	0
3	499999.665956	 -0.000067	 -0.000208	 -0.334044	  0.000706	68	0
4	499999.302941	 -0.000139	 -0.000227	 -0.697059	  0.000437	52	0
5	499998.817968	 -0.000236	 -0.000445	 -1.182032	  0.001043	63	0
6	500000.562289	  0.000112	 -0.000004	  0.562289	  0.000584	69	0
7	499999.347653	 -0.000130	 -0.000383	 -0.652347	  0.001264	21	0
8	500003.078228	  0.000616	  0.000511	  3.078228	  0.000525	8	0
9	500000.053660	  0.000011	 -0.000059	  0.053660	  0.000346	38	0
