run	wealth	return	value	profit	mdd	transactions	short transactions
0	500007.391172	  0.001478	  0.001434	  7.391172	  0.000221	17	0
1	500004.813608	  0.000963	  0.000902	  4.813608	  0.000302	31	0
2	500005.480852	  0.001096	  0.001012	  5.480852	  0.000423	32	0
3	500005.127205	  0.001025	  0.000970	  5.127205	  0.000278	26	0
4	500004.300884	  0.000860	  0.000814	  4.300884	  0.000233	25	0
5	500004.262373	  0.000852	  0.000806	  4.262373	  0.000231	25	0
6	500006.440927	  0.001288	  0.001186	  6.440927	  0.000511	32	0
7	500003.324849	  0.000665	  0.000639	  3.324849	  0.000131	19	0
8	500007.687033	  0.001537	  0.001489	  7.687033	  0.000243	20	0
9	500003.314294	  0.000663	  0.000627	  3.314294	  0.000180	26	0
