run	wealth	return	value	profit	mdd	transactions	short transactions
0	499998.454953	 -0.000309	 -0.000442	 -1.545047	  0.000663	52	0
1	499998.468170	 -0.000306	 -0.000409	 -1.531830	  0.000513	14	0
2	500003.656621	  0.000731	  0.000616	  3.656621	  0.000575	12	0
3	499998.835306	 -0.000233	 -0.000338	 -1.164694	  0.000524	19	0
4	499998.381613	 -0.000324	 -0.000425	 -1.618387	  0.000508	18	0
5	499999.290547	 -0.000142	 -0.000211	 -0.709453	  0.000346	13	0
6	499998.915844	 -0.000217	 -0.000294	 -1.084156	  0.000387	21	0
7	499999.586904	 -0.000083	 -0.000256	 -0.413096	  0.000868	68	0
8	499999.593015	 -0.000081	 -0.000301	 -0.406985	  0.001098	65	0
9	500000.856395	  0.000171	  0.000053	  0.856395	  0.000593	65	0
