run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.111281	  0.000022	  0.000019	  0.111281	  0.000014	6	0
1	500000.206416	  0.000041	  0.000034	  0.206416	  0.000038	2	0
2	500000.367496	  0.000073	  0.000046	  0.367496	  0.000139	4	0
3	500000.236788	  0.000047	  0.000044	  0.236788	  0.000018	2	0
4	500000.170866	  0.000034	  0.000006	  0.170866	  0.000140	12	0
5	500000.472421	  0.000094	  0.000073	  0.472421	  0.000106	6	0
6	500000.383155	  0.000077	  0.000066	  0.383155	  0.000052	10	0
7	500000.116334	  0.000023	  0.000004	  0.116334	  0.000095	12	0
8	500000.110462	  0.000022	  0.000004	  0.110462	  0.000090	12	0
9	500000.232397	  0.000046	  0.000039	  0.232397	  0.000038	10	0
