run	wealth	return	value	profit	mdd	transactions	short transactions
0	500002.920360	  0.000584	  0.000430	  2.920360	  0.000772	57	0
1	500001.269615	  0.000254	  0.000146	  1.269615	  0.000538	49	0
2	500002.743632	  0.000549	  0.000418	  2.743632	  0.000652	55	0
3	500001.343269	  0.000269	  0.000172	  1.343269	  0.000485	40	0
4	500001.233113	  0.000247	  0.000137	  1.233113	  0.000548	49	0
5	500003.964336	  0.000793	  0.000558	  3.964336	  0.001172	66	0
6	500003.057666	  0.000612	  0.000477	  3.057666	  0.000670	56	0
7	500002.726142	  0.000545	  0.000417	  2.726142	  0.000640	57	0
8	500002.880309	  0.000576	  0.000450	  2.880309	  0.000631	8	0
9	500003.580575	  0.000716	  0.000563	  3.580575	  0.000766	28	0
