run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.536842	  0.000107	  0.000083	  0.536842	  0.000121	6	0
1	500000.332140	  0.000066	  0.000051	  0.332140	  0.000077	10	0
2	500000.236476	  0.000047	  0.000029	  0.236476	  0.000089	4	0
3	500000.082636	  0.000017	  0.000013	  0.082636	  0.000019	34	0
4	500000.398675	  0.000080	  0.000073	  0.398675	  0.000033	8	0
5	500000.225490	  0.000045	  0.000039	  0.225490	  0.000028	6	0
6	500000.149758	  0.000030	 -0.000016	  0.149758	  0.000228	9	0
7	500000.290799	  0.000058	  0.000049	  0.290799	  0.000044	14	0
8	500000.183290	  0.000037	  0.000021	  0.183290	  0.000077	12	0
9	500000.222526	  0.000045	  0.000037	  0.222526	  0.000036	10	0
