run	wealth	return	value	profit	mdd	transactions	short transactions
0	499999.788093	 -0.000042	 -0.000183	 -0.211907	  0.000705	37	0
1	500004.166373	  0.000833	  0.000702	  4.166373	  0.000655	12	0
2	500000.640064	  0.000128	 -0.000004	  0.640064	  0.000659	71	0
3	499999.722618	 -0.000055	 -0.000134	 -0.277382	  0.000391	31	0
4	499999.801469	 -0.000040	 -0.000254	 -0.198531	  0.001074	58	0
5	499999.030479	 -0.000194	 -0.000307	 -0.969521	  0.000563	48	0
6	500004.066157	  0.000813	  0.000685	  4.066157	  0.000640	12	0
7	499998.989572	 -0.000202	 -0.000371	 -1.010428	  0.000844	45	0
8	499999.956494	 -0.000009	 -0.000108	 -0.043506	  0.000498	39	0
9	500000.050427	  0.000010	 -0.000104	  0.050427	  0.000573	36	0
