run	wealth	return	value	profit	mdd	transactions	short transactions
0	500003.796795	  0.000759	  0.000718	  3.796795	  0.000206	25	0
1	500006.308938	  0.001262	  0.001181	  6.308938	  0.000403	31	0
2	500005.502063	  0.001100	  0.001066	  5.502063	  0.000174	20	0
3	500003.353770	  0.000671	  0.000634	  3.353770	  0.000182	25	0
4	500005.077076	  0.001015	  0.000960	  5.077076	  0.000275	25	0
5	500005.242160	  0.001048	  0.000979	  5.242160	  0.000347	27	0
6	500004.743600	  0.000949	  0.000922	  4.743600	  0.000134	6	0
7	500004.217316	  0.000843	  0.000806	  4.217316	  0.000188	21	0
8	500005.063955	  0.001013	  0.000958	  5.063955	  0.000274	27	0
9	500005.191956	  0.001038	  0.000970	  5.191956	  0.000343	27	0
