run	wealth	return	value	profit	mdd	transactions	short transactions
0	499999.343052	 -0.000131	 -0.000207	 -0.656948	  0.000380	15	0
1	499999.204630	 -0.000159	 -0.000365	 -0.795370	  0.001029	59	0
2	499999.675576	 -0.000065	 -0.000238	 -0.324424	  0.000864	69	0
3	500002.988706	  0.000598	  0.000502	  2.988706	  0.000479	11	0
4	499998.708156	 -0.000258	 -0.000372	 -1.291844	  0.000566	49	0
5	500000.715192	  0.000143	 -0.000005	  0.715192	  0.000741	69	0
6	499999.954630	 -0.000009	 -0.000054	 -0.045370	  0.000226	37	0
7	500000.801084	  0.000160	 -0.000008	  0.801084	  0.000839	72	0
8	499999.795033	 -0.000041	 -0.000099	 -0.204967	  0.000290	31	0
9	500004.263447	  0.000853	  0.000694	  4.263447	  0.000795	13	0
