run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.120945	  0.000024	  0.000015	  0.120945	  0.000046	14	0
1	500000.222303	  0.000044	  0.000035	  0.222303	  0.000047	8	0
2	500000.638842	  0.000128	  0.000099	  0.638842	  0.000143	6	0
3	500000.271184	  0.000054	  0.000045	  0.271184	  0.000044	2	0
4	500000.319379	  0.000064	  0.000056	  0.319379	  0.000041	6	0
5	500000.487251	  0.000097	  0.000089	  0.487251	  0.000040	8	0
6	500000.251816	  0.000050	  0.000040	  0.251816	  0.000050	10	0
7	500000.008418	  0.000002	  0.000001	  0.008418	  0.000004	2	0
8	500000.062724	  0.000013	  0.000009	  0.062724	  0.000016	4	0
9	500000.516216	  0.000103	  0.000086	  0.516216	  0.000084	6	0
