run	wealth	return	value	profit	mdd	transactions	short transactions
0	500002.605320	  0.000521	  0.000338	  2.605320	  0.000915	27	0
1	500003.042364	  0.000608	  0.000482	  3.042364	  0.000631	52	0
2	500003.317800	  0.000664	  0.000538	  3.317800	  0.000627	34	0
3	500003.029398	  0.000606	  0.000473	  3.029398	  0.000663	8	0
4	500003.026833	  0.000605	  0.000509	  3.026833	  0.000482	33	0
5	500003.027600	  0.000606	  0.000492	  3.027600	  0.000565	47	0
6	500002.434535	  0.000487	  0.000360	  2.434535	  0.000637	35	0
7	500003.144824	  0.000629	  0.000472	  3.144824	  0.000785	54	0
8	500003.901840	  0.000780	  0.000548	  3.901840	  0.001164	66	0
9	500003.245707	  0.000649	  0.000495	  3.245707	  0.000773	54	0
