run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.163428	  0.000033	  0.000006	  0.163428	  0.000134	12	0
1	500000.348323	  0.000070	  0.000043	  0.348323	  0.000131	4	0
2	500000.493894	  0.000099	  0.000077	  0.493894	  0.000111	6	0
3	500000.252100	  0.000050	  0.000027	  0.252100	  0.000118	13	0
4	500000.313309	  0.000063	  0.000053	  0.313309	  0.000051	2	0
5	500000.145841	  0.000029	  0.000024	  0.145841	  0.000024	10	0
6	500000.257703	  0.000052	  0.000045	  0.257703	  0.000033	6	0
7	500000.265237	  0.000053	  0.000033	  0.265237	  0.000100	4	0
8	500000.105063	  0.000021	  0.000016	  0.105063	  0.000027	4	0
9	500000.227434	  0.000045	  0.000038	  0.227434	  0.000037	10	0
