run	wealth	return	value	profit	mdd	transactions	short transactions
0	499999.422604	 -0.000115	 -0.000246	 -0.577396	  0.000651	59	0
1	499999.197911	 -0.000160	 -0.000263	 -0.802089	  0.000511	52	0
2	499998.429125	 -0.000314	 -0.000449	 -1.570875	  0.000674	49	0
3	500000.055251	  0.000011	 -0.000119	  0.055251	  0.000652	67	0
4	499999.636716	 -0.000073	 -0.000193	 -0.363284	  0.000602	39	0
5	499998.924798	 -0.000215	 -0.000328	 -1.075202	  0.000563	48	0
6	499999.744094	 -0.000051	 -0.000184	 -0.255906	  0.000665	42	0
7	499998.947623	 -0.000210	 -0.000343	 -1.052377	  0.000664	47	0
8	499999.976755	 -0.000005	 -0.000057	 -0.023245	  0.000261	39	0
9	499998.643823	 -0.000271	 -0.000385	 -1.356177	  0.000567	18	0
