run	wealth	return	value	profit	mdd	transactions	short transactions
0	500001.153834	  0.000231	  0.000200	  1.153834	  0.000153	24	0
1	500002.109996	  0.000422	  0.000395	  2.109996	  0.000136	20	0
2	500002.354620	  0.000471	  0.000419	  2.354620	  0.000261	21	0
3	500001.362146	  0.000272	  0.000253	  1.362146	  0.000095	25	0
4	500001.910044	  0.000382	  0.000347	  1.910044	  0.000176	17	0
5	500002.084403	  0.000417	  0.000390	  2.084403	  0.000135	20	0
6	500002.022254	  0.000404	  0.000367	  2.022254	  0.000186	17	0
7	500002.016426	  0.000403	  0.000364	  2.016426	  0.000196	20	0
8	500001.075096	  0.000215	  0.000203	  1.075096	  0.000060	15	0
9	500002.591843	  0.000518	  0.000452	  2.591843	  0.000332	11	0
