run	wealth	return	value	profit	mdd	transactions	short transactions
0	500001.462866	  0.000293	  0.000145	  1.462866	  0.000736	5	0
1	500000.095517	  0.000019	 -0.000064	  0.095517	  0.000418	38	0
2	499998.402933	 -0.000319	 -0.000443	 -1.597067	  0.000620	21	0
3	499999.569405	 -0.000086	 -0.000152	 -0.430595	  0.000329	43	0
4	500000.150532	  0.000030	 -0.000105	  0.150532	  0.000677	71	0
5	500004.464935	  0.000893	  0.000769	  4.464935	  0.000618	15	0
6	499998.284419	 -0.000343	 -0.000491	 -1.715581	  0.000739	47	0
7	500005.261264	  0.001052	  0.000887	  5.261264	  0.000826	12	0
8	500001.163206	  0.000233	  0.000197	  1.163206	  0.000177	4	0
9	499999.054792	 -0.000189	 -0.000373	 -0.945208	  0.000919	64	0
