run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.552947	  0.000111	  0.000086	  0.552947	  0.000124	6	0
1	500000.141335	  0.000028	  0.000005	  0.141335	  0.000116	12	0
2	500000.173088	  0.000035	  0.000027	  0.173088	  0.000037	8	0
3	500000.037589	  0.000008	  0.000003	  0.037589	  0.000024	6	0
4	500000.314193	  0.000063	  0.000058	  0.314193	  0.000026	8	0
5	500000.261406	  0.000052	  0.000040	  0.261406	  0.000060	10	0
6	500000.212599	  0.000043	  0.000036	  0.212599	  0.000034	10	0
7	500000.506686	  0.000101	  0.000094	  0.506686	  0.000038	4	0
8	500000.249686	  0.000050	  0.000042	  0.249686	  0.000040	10	0
9	500000.614624	  0.000123	  0.000113	  0.614624	  0.000051	8	0
