run	wealth	return	value	profit	mdd	transactions	short transactions
0	500005.110621	  0.001022	  0.000803	  5.110621	  0.001095	28	0
1	500003.335661	  0.000667	  0.000456	  3.335661	  0.001056	28	0
2	500004.717339	  0.000943	  0.000780	  4.717339	  0.000819	34	0
3	500005.635141	  0.001127	  0.000932	  5.635141	  0.000977	34	0
4	500005.166644	  0.001033	  0.000671	  5.166644	  0.001812	27	0
5	500005.541338	  0.001108	  0.000871	  5.541338	  0.001188	28	0
6	500004.020264	  0.000804	  0.000581	  4.020264	  0.001113	66	0
7	500005.364329	  0.001073	  0.000727	  5.364329	  0.001731	27	0
8	500001.974228	  0.000395	  0.000235	  1.974228	  0.000801	53	0
9	500002.906163	  0.000581	  0.000471	  2.906163	  0.000550	47	0
