run	wealth	return	value	profit	mdd	transactions	short transactions
0	500007.082551	  0.001417	  0.001366	  7.082551	  0.000250	18	0
1	500005.870366	  0.001174	  0.001139	  5.870366	  0.000176	17	0
2	500007.097050	  0.001419	  0.001375	  7.097050	  0.000224	20	0
3	500008.462609	  0.001693	  0.001639	  8.462609	  0.000267	20	0
4	500012.509334	  0.002502	  0.002430	 12.509334	  0.000361	18	0
5	500007.686188	  0.001537	  0.001483	  7.686188	  0.000272	18	0
6	500007.084718	  0.001417	  0.001333	  7.084718	  0.000417	31	0
7	500012.494298	  0.002499	  0.002427	 12.494298	  0.000360	18	0
8	500005.937697	  0.001188	  0.001129	  5.937697	  0.000293	29	0
9	500004.636379	  0.000927	  0.000886	  4.636379	  0.000205	23	0
