run	wealth	return	value	profit	mdd	transactions	short transactions
0	500001.386089	  0.000277	  0.000258	  1.386089	  0.000098	24	0
1	500001.559636	  0.000312	  0.000258	  1.559636	  0.000270	25	0
2	500002.074871	  0.000415	  0.000389	  2.074871	  0.000128	23	0
3	500002.901779	  0.000580	  0.000544	  2.901779	  0.000182	10	0
4	500002.434450	  0.000487	  0.000456	  2.434450	  0.000153	10	0
5	500001.234236	  0.000247	  0.000237	  1.234236	  0.000048	13	0
6	500001.697330	  0.000339	  0.000311	  1.697330	  0.000144	24	0
7	500001.524697	  0.000305	  0.000284	  1.524697	  0.000106	25	0
8	500002.699270	  0.000540	  0.000485	  2.699270	  0.000273	18	0
9	500001.474995	  0.000295	  0.000276	  1.474995	  0.000095	26	0
