run	wealth	return	value	profit	mdd	transactions	short transactions
0	500003.594126	  0.000719	  0.000484	  3.594126	  0.001173	65	0
1	500002.838451	  0.000568	  0.000438	  2.838451	  0.000649	56	0
2	500002.734845	  0.000547	  0.000390	  2.734845	  0.000784	56	0
3	500004.199970	  0.000840	  0.000601	  4.199970	  0.001194	67	0
4	500004.390493	  0.000878	  0.000600	  4.390493	  0.001390	28	0
5	500004.013407	  0.000803	  0.000521	  4.013407	  0.001408	27	0
6	500002.749853	  0.000550	  0.000405	  2.749853	  0.000723	59	0
7	500001.357924	  0.000272	  0.000142	  1.357924	  0.000647	50	0
8	500004.971703	  0.000994	  0.000708	  4.971703	  0.001432	27	0
9	500003.896496	  0.000779	  0.000685	  3.896496	  0.000472	11	0
