run	wealth	return	value	profit	mdd	transactions	short transactions
0	500002.388643	  0.000478	  0.000374	  2.388643	  0.000520	41	0
1	500002.438809	  0.000488	  0.000379	  2.438809	  0.000545	60	0
2	500002.577770	  0.000516	  0.000380	  2.577770	  0.000675	35	0
3	500001.234706	  0.000247	  0.000152	  1.234706	  0.000476	28	0
4	500001.695647	  0.000339	  0.000214	  1.695647	  0.000624	7	0
5	500003.254663	  0.000651	  0.000441	  3.254663	  0.001050	66	0
6	500000.660269	  0.000132	  0.000008	  0.660269	  0.000621	36	0
7	500002.410895	  0.000482	  0.000362	  2.410895	  0.000602	55	0
8	500000.915705	  0.000183	  0.000067	  0.915705	  0.000582	49	0
9	500002.829587	  0.000566	  0.000431	  2.829587	  0.000672	55	0
