run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.004145	  0.000001	  0.000001	  0.004145	  0.000001	4	0
1	500000.257335	  0.000051	  0.000040	  0.257335	  0.000059	10	0
2	500000.254650	  0.000051	  0.000043	  0.254650	  0.000041	10	0
3	500000.073810	  0.000015	  0.000008	  0.073810	  0.000035	13	0
4	500000.284526	  0.000057	  0.000044	  0.284526	  0.000064	6	0
5	500000.274058	  0.000055	  0.000045	  0.274058	  0.000048	10	0
6	500000.089824	  0.000018	  0.000003	  0.089824	  0.000074	12	0
7	500000.215949	  0.000043	  0.000040	  0.215949	  0.000018	8	0
8	500000.060962	  0.000012	  0.000010	  0.060962	  0.000013	8	0
9	500000.007805	  0.000002	  0.000001	  0.007805	  0.000005	2	0
