run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.050227	  0.000010	 -0.000131	  0.050227	  0.000706	68	0
1	499998.322257	 -0.000336	 -0.000453	 -1.677743	  0.000589	16	0
2	500002.855474	  0.000571	  0.000469	  2.855474	  0.000512	8	0
3	500000.131843	  0.000026	 -0.000084	  0.131843	  0.000553	38	0
4	500003.037539	  0.000608	  0.000499	  3.037539	  0.000544	8	0
5	499998.021743	 -0.000396	 -0.000643	 -1.978257	  0.001235	47	0
6	499999.611368	 -0.000078	 -0.000141	 -0.388632	  0.000315	41	0
7	500001.291667	  0.000258	  0.000212	  1.291667	  0.000231	8	0
8	499999.649396	 -0.000070	 -0.000269	 -0.350604	  0.000996	6	0
9	500003.014110	  0.000603	  0.000506	  3.014110	  0.000487	12	0
