run	wealth	return	value	profit	mdd	transactions	short transactions
0	500006.930642	  0.001386	  0.001344	  6.930642	  0.000208	17	0
1	500004.900091	  0.000980	  0.000915	  4.900091	  0.000324	27	0
2	500002.976218	  0.000595	  0.000551	  2.976218	  0.000222	26	0
3	500005.150991	  0.001030	  0.000963	  5.150991	  0.000337	30	0
4	500006.240791	  0.001248	  0.001213	  6.240791	  0.000176	6	0
5	500005.946846	  0.001189	  0.001094	  5.946846	  0.000475	32	0
6	500004.969079	  0.000994	  0.000920	  4.969079	  0.000370	32	0
7	500003.106296	  0.000621	  0.000597	  3.106296	  0.000122	26	0
8	500006.164083	  0.001233	  0.001192	  6.164083	  0.000206	22	0
9	500006.440093	  0.001288	  0.001205	  6.440093	  0.000415	31	0
