run	wealth	return	value	profit	mdd	transactions	short transactions
0	500001.626013	  0.000325	  0.000302	  1.626013	  0.000114	6	0
1	500002.591843	  0.000518	  0.000452	  2.591843	  0.000332	11	0
2	500002.616201	  0.000523	  0.000470	  2.616201	  0.000266	22	0
3	500001.690822	  0.000338	  0.000318	  1.690822	  0.000102	23	0
4	500003.048160	  0.000610	  0.000548	  3.048160	  0.000310	22	0
5	500001.444512	  0.000289	  0.000269	  1.444512	  0.000101	6	0
6	500001.654885	  0.000331	  0.000300	  1.654885	  0.000152	25	0
7	500002.258272	  0.000452	  0.000402	  2.258272	  0.000246	22	0
8	500003.963144	  0.000793	  0.000723	  3.963144	  0.000349	19	0
9	500001.648853	  0.000330	  0.000309	  1.648853	  0.000105	26	0
