run	wealth	return	value	profit	mdd	transactions	short transactions
0	499998.556588	 -0.000289	 -0.000378	 -1.443412	  0.000447	13	0
1	499999.228978	 -0.000154	 -0.000215	 -0.771022	  0.000306	29	0
2	499998.657752	 -0.000268	 -0.000377	 -1.342248	  0.000541	31	0
3	499999.243151	 -0.000151	 -0.000214	 -0.756849	  0.000314	10	0
4	499999.115923	 -0.000177	 -0.000234	 -0.884077	  0.000288	14	0
5	499998.659163	 -0.000268	 -0.000381	 -1.340837	  0.000563	32	0
6	499999.267841	 -0.000146	 -0.000207	 -0.732159	  0.000305	12	0
7	499997.721085	 -0.000456	 -0.000561	 -2.278915	  0.000527	35	0
8	499999.676622	 -0.000065	 -0.000092	 -0.323378	  0.000139	23	0
9	499999.090211	 -0.000182	 -0.000244	 -0.909789	  0.000310	24	0
