run	wealth	return	value	profit	mdd	transactions	short transactions
0	500002.511854	  0.000502	  0.000447	  2.511854	  0.000279	21	0
1	500002.409910	  0.000482	  0.000452	  2.409910	  0.000151	10	0
2	500002.290377	  0.000458	  0.000398	  2.290377	  0.000298	10	0
3	500002.503942	  0.000501	  0.000436	  2.503942	  0.000322	11	0
4	500001.747316	  0.000349	  0.000325	  1.747316	  0.000120	25	0
5	500001.858149	  0.000372	  0.000348	  1.858149	  0.000119	26	0
6	500002.326155	  0.000465	  0.000415	  2.326155	  0.000253	22	0
7	500001.357973	  0.000272	  0.000253	  1.357973	  0.000094	25	0
8	500005.218363	  0.001044	  0.000982	  5.218363	  0.000309	17	0
9	500003.019294	  0.000604	  0.000543	  3.019294	  0.000307	22	0
