run	wealth	return	value	profit	mdd	transactions	short transactions
0	500003.379256	  0.000676	  0.000467	  3.379256	  0.001044	66	0
1	500002.083251	  0.000417	  0.000229	  2.083251	  0.000938	53	0
2	500003.477953	  0.000696	  0.000499	  3.477953	  0.000985	66	0
3	500002.508506	  0.000502	  0.000390	  2.508506	  0.000557	56	0
4	500002.923197	  0.000585	  0.000395	  2.923197	  0.000948	66	0
5	500002.441334	  0.000488	  0.000376	  2.441334	  0.000561	51	0
6	500004.151674	  0.000830	  0.000594	  4.151674	  0.001182	66	0
7	500001.731103	  0.000346	  0.000180	  1.731103	  0.000831	53	0
8	500002.890117	  0.000578	  0.000375	  2.890117	  0.001014	27	0
9	500002.815813	  0.000563	  0.000348	  2.815813	  0.001076	27	0
