run	wealth	return	value	profit	mdd	transactions	short transactions
0	499999.908043	 -0.000018	 -0.000284	 -0.091957	  0.001326	60	0
1	499998.562464	 -0.000288	 -0.000386	 -1.437536	  0.000493	23	0
2	499999.767937	 -0.000046	 -0.000264	 -0.232063	  0.001086	7	0
3	499999.792486	 -0.000042	 -0.000267	 -0.207514	  0.001129	59	0
4	500001.028733	  0.000206	  0.000150	  1.028733	  0.000278	36	0
5	500003.756837	  0.000751	  0.000633	  3.756837	  0.000590	12	0
6	499999.694402	 -0.000061	 -0.000162	 -0.305598	  0.000506	39	0
7	500003.901194	  0.000780	  0.000655	  3.901194	  0.000625	11	0
8	499999.436357	 -0.000113	 -0.000193	 -0.563643	  0.000400	25	0
9	499998.804982	 -0.000239	 -0.000352	 -1.195018	  0.000565	49	0
