run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.171284	  0.000034	  0.000029	  0.171284	  0.000028	10	0
1	500000.295283	  0.000059	  0.000046	  0.295283	  0.000067	10	0
2	500000.382064	  0.000076	  0.000070	  0.382064	  0.000032	8	0
3	500000.684556	  0.000137	  0.000117	  0.684556	  0.000102	11	0
4	500000.195368	  0.000039	  0.000021	  0.195368	  0.000093	13	0
5	500000.601263	  0.000120	  0.000093	  0.601263	  0.000135	6	0
6	500000.106843	  0.000021	 -0.000012	  0.106843	  0.000166	9	0
7	500000.212794	  0.000043	  0.000036	  0.212794	  0.000030	8	0
8	500000.094187	  0.000019	  0.000011	  0.094187	  0.000040	12	0
9	500000.008015	  0.000002	  0.000001	  0.008015	  0.000004	2	0
